              -1,0000 ;    3.ksiD ;    4.ksiD 
              -1,0000 ;    3.ksiD ;    8.ksiD 
              -1,0000 ;    4.ksiD ;    3.ksiD 
              -1,0000 ;    8.ksiD ;    3.ksiD 
              -0,9659 ;   5.input ;   5.speed 
              -0,9659 ;   5.speed ;   5.input 
              -0,9524 ;   5.speed ; 5.density 
              -0,9524 ; 5.density ;   5.speed 
              -0,9184 ;   2.speed ; 2.density 
              -0,9184 ; 2.density ;   2.speed 
              -0,8661 ;   2.input ;   2.speed 
              -0,8661 ;   2.speed ;   2.input 
              -0,7962 ;   5.input ;   5.delay 
              -0,7962 ;   5.delay ;   5.input 
              -0,7309 ;   7.speed ;   7.delay 
              -0,7309 ;   7.delay ;   7.speed 
              -0,6593 ; 5.density ;   5.delay 
              -0,6593 ;   5.delay ; 5.density 
              -0,6467 ;   1.speed ; 1.density 
              -0,6467 ; 1.density ;   1.speed 
              -0,6001 ; 4.density ;   4.delay 
              -0,6001 ;   4.delay ; 4.density 
              -0,5857 ;  2.output ;   2.delay 
              -0,5857 ;   2.delay ;  2.output 
              -0,5221 ;  2.output ; 4.density 
              -0,5221 ; 4.density ;  2.output 
              -0,5207 ;  2.output ;   4.input 
              -0,5207 ;   4.input ;  2.output 
              -0,5187 ;   2.delay ;   3.input 
              -0,5187 ;   3.input ;   2.delay 
              -0,4822 ;   3.speed ; 3.density 
              -0,4822 ; 3.density ;   3.speed 
              -0,4645 ;   3.input ; 4.density 
              -0,4645 ; 4.density ;   3.input 
              -0,4638 ;   3.input ;   4.input 
              -0,4638 ;   4.input ;   3.input 
              -0,4398 ; 2.density ;   2.delay 
              -0,4398 ;   2.delay ; 2.density 
              -0,4346 ;   6.delay ;  8.output 
              -0,4346 ;  8.output ;   6.delay 
              -0,3988 ;   6.speed ; 6.density 
              -0,3988 ; 6.density ;   6.speed 
              -0,3972 ; 5.density ;  5.output 
              -0,3972 ;  5.output ; 5.density 
              -0,3881 ; 3.density ; 4.density 
              -0,3881 ; 4.density ; 3.density 
              -0,3796 ;   2.delay ; 3.density 
              -0,3796 ; 3.density ;   2.delay 
              -0,3625 ;   2.input ;  3.output 
              -0,3625 ;  3.output ;   2.input 
              -0,3429 ; 3.density ;   4.input 
              -0,3429 ;   4.input ; 3.density 
              -0,3422 ;   8.speed ; 8.density 
              -0,3422 ; 8.density ;   8.speed 
              -0,3254 ;   5.delay ;  6.output 
              -0,3254 ;   5.delay ;   7.input 
              -0,3254 ;   5.delay ;   8.input 
              -0,3254 ;  6.output ;   5.delay 
              -0,3254 ;   7.input ;   5.delay 
              -0,3254 ;   8.input ;   5.delay 
              -0,3186 ;   2.input ;  2.output 
              -0,3186 ;  2.output ;   2.input 
              -0,3147 ;   2.input ;   2.delay 
              -0,3147 ;   2.delay ;   2.input 
              -0,3143 ; 2.density ;  3.output 
              -0,3143 ;  3.output ; 2.density 
              -0,3109 ;   2.input ; 3.density 
              -0,3109 ; 3.density ;   2.input 
